sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
o	x	x	x	x	o	o	123663	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Auch in Wien hatten wir einen prominenten Fall, dass ein mit dem Bundeskanzler befreundeter Unternehmer die Schließung seines Lokals bereits zu einem Zeitpunkt angekündigt hat, zu dem die Bevölkerung noch keine Kenntnis über die Details des bevorstehenden zweiten Lockdowns hatte.
-	x	x	x	x	o	-	123665	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Letzten Freitag hatten wir die Schlussberatungen im Budgetausschuss, und am Freitag titelte der „Kurier“ bereits: „,Gefahr im Verzug‘: So soll der neue, harte Lockdown aus­sehen“.
-	x	x	o	x	o	o	123666	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	– Und was, glauben Sie, hat mir Herr Finanzminister Blümel am Freitag geantwortet, als ich ihn nach den budgetären Auswirkungen des harten Lockdowns gefragt habe?
-	x	x	o	-	o	-	123669	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	– Weil er nicht weiß, was in dieser Verordnung über den harten Lockdown drinnen stehen wird, die er gemeinsam mit anderen Mitgliedern der Bundesregierung am nächsten Tag bekannt gegeben hat.
-	x	x	o	-	o	-	123670	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Das heißt, der „Kurier“ und andere Medien wussten, was in dieser Verordnung steht , der Finanzminister wusste es nicht, und die Konsequenzen des zweiten Lockdowns, des harten Lockdowns, sind auch nicht in diesem Budget enthalten.
o	x	x	o	x	o	o	123676	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Der Lockdown light wurde im Budget 2021 mit circa 1,6 Milliarden Euro berücksichtigt.
-	x	x	x	-	o	-	123677	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Der harte Lockdown ist – wie bereits erwähnt – im Budget 2021 nicht abgebildet und wird auch nicht abgebildet werden, obwohl der Finanzminister hiezu noch einige Tage Zeit hätte.
+	x	x	x	+	o	o	123680	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Lassen Sie mich abschließend noch auf den Lockdown-Umsatzersatz eingehen: Grund­sätzlich ist diese Hilfsmaßnahme zu begrüßen, weil sie zum ersten Mal relativ unbüro­kratisch über die Finanzonline-Plattform beantragt werden kann.
-	x	x	x	-	o	-	123685	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Richtigerweise müssten für den Lockdown-Umsatzersatz die Finanzämter zuständig sein, und dann könnte man den Lockdown-Umsatzersatz auch antragslos – so wie bei der Familien­beihilfe – ausgestalten.
o	x	x	x	x	o	o	123720	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Herr Finanzminister, Sie haben uns vor ungefähr einem Monat den Entwurf Ihres Bud­gets für 2021 vorgelegt – das war vor dem leichten Lockdown, es war vor allem aber vor dem harten Lockdown, der heute um 0 Uhr in Kraft getreten ist.
-	x	x	x	-	o	-	123722	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Diesbezüg­lich sind wir nicht die Einzigen, die das sagen, es wurde schon von vielen Seiten attes­tiert, dass im Sommer vieles verschlafen worden ist – auf jeden Fall wurde verschlafen, eine entsprechende Abbildung dieses Lockdowns im Budget darzustellen.
-	x	x	x	-	o	-	123727	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Darüber hinaus möchte ich auch ganz klar sagen: Falls es im Winter zu einem dritten Lockdown kommt, dann können Sie auch dieses Budget wieder in den Papierkübel schmeißen.
-	x	x	-	x	-	-	123754	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Jetzt haben wir den harten Lockdown – da gibt es vorsichtige Berechnungen und Schätzungen, bei denen es heißt, es werden wahrscheinlich eher 450 000 Arbeitslose sein.
-	x	x	-	x	-	-	123774	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Dieser harte Lockdown wird uns ungefähr fünf Jahre kosten, sagen die Wirtschaftsforscher.
-	x	x	-	x	o	-	123867	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	Ab heute gilt in Österreich ein verschärfter Lockdown, die Auswirkungen auf das gesell­schaftliche und wirtschaftliche Leben sind beträchtlich.
-	x	x	-	x	o	+	123871	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	Egal wann es einen solchen Lockdown gibt, für die Wirtschaft gibt es keinen guten Zeitpunkt für eine solche Maßnahme, und gerade vor dem anlaufenden Weihnachts­geschäft ist dieser Schritt natürlich besonders schmerzhaft.
-	x	x	x	-	o	+	123876	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	Ich darf hier auch einen Vergleich zu Deutschland wagen: In Deutschland sind der Lockdown und die damit verbundenen Wirtschaftshilfen eine Woche früher als in Österreich angekündigt worden; die Wirtschaftshilfen sind noch immer nicht zu bean­tragen und es ist noch immer nicht klar, in welcher Form genau das erfolgen wird.
+	x	x	x	+	o	+	123879	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	Auch für jene Unternehmen, die durch die Verschärfung des Lockdowns jetzt neu betrof­fen sind, wird es natürlich rasche Hilfen geben.
+	x	x	+	x	+	+	123887	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	Das bestätigt auch IHS-Chef Martin Kocher in der Tageszeitung „Die Presse“ am 16.11., er sagt dort zum Lockdown: „Die Alternativen sind schlechter als das, was jetzt passiert“.
o	x	x	o	x	o	o	123888	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	Aber natürlich: Der Lockdown hat auch Auswirkungen auf das Wachstum 2021 – das ist völlig richtig – und auf die Einnahmen des Staates.
-	x	+	x	x	+	+	124007	2020_11_17	62	ÖVP	Abgeordneter Karlheinz Kopf (ÖVP)	True	Leider mussten wir aufgrund der Entwicklung der Infektionszahlen in einem zweiten Lockdown Betriebe der Hotellerie, der Gastronomie – im ersten Schritt – und jetzt, ab heute, leider auch viele andere Betriebe und Einrichtungen schließen.
+	x	x	x	+	+	+	124008	2020_11_17	62	ÖVP	Abgeordneter Karlheinz Kopf (ÖVP)	True	Der Herr Finanzminister hat vorhin schon ausgeführt, dass es sehr schnell, nämlich innerhalb von wenigen Tagen, von ein, zwei Wochen, gelungen ist, zunächst für die Hotellerie und Gastronomie für diese Phase des Lockdowns mit dem 80-prozentigen Umsatzersatz rasche Hilfe bereitzustellen, wozu Kollege Schellhorn, der ja sonst nicht um Kritik an den Regierungsparteien und auch am Herrn Finanzminister verlegen ist, immerhin getwittert hat: „Ratz/Fatz – 5 min mit Finanzonline“, binnen 5 Minuten ist der Antrag über Finanzonline erledigt.
+	x	x	x	+s	o	+	124019	2020_11_17	62	ÖVP	Abgeordneter Karlheinz Kopf (ÖVP)	True	Daher müssen auch die jetzt schon einige Zeit in der Konzeption befindlichen Hilfsmaßnahmen, Fixkostenzuschuss Phase zwei, und jetzt auch der Umsatzersatz für die weiteren vom Lockdown betroffenen Branchen und Unternehmen rasch in die Gänge kommen und bei den Betrieben ankommen.
-	x	x	x	-	o	-	124033	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Heute verhandeln wir ein Budget, das auf einer Datenbasis berechnet worden ist – und das hat der Finanz­minister ja auch gar nicht abgestritten –, in der dieser neuerliche harte Lockdown gar nicht berücksichtigt ist.
-	#	#-	x	-	o	-	124043	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Sie haben, und das hat Kollege Fuchs genau ausgeführt, während dieser ganzen Budgetverhandlungen offensichtlich so getan, als wüssten Sie nichts von diesem harten Lockdown, als wäre Ihnen überhaupt nicht bewusst, dass das käme.
o	x	x	x	x	o	o	124044	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Bei den ersten Beratungen am 6. November hat Wirtschaftsexperte Badelt bereits davon gesprochen, dass der Lock­down soft bis kurz vor Weihnachten dauern wird.
-	x	x	x	x	o	o	124046	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Es ist aber schon spannend, dass ein befreundeter Unternehmer vom Herrn Bundes­kanzler und von Ihnen in Wien schon Wochen, bevor dieser sanfte Lockdown gekommen ist, geschrieben hat, dass seine Lokale wieder sperren werden.
o	x	x	x	x	o	o	124048	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Kommt ein sanfter Lockdown, kommt ein scharfer Lockdown?
-	x	x	-	-	-	-	124051	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	– Meine Damen und Herren, das ist die perfide Politik der ÖVP, die Sie jetzt seit Monaten betreiben und die uns jetzt schon wieder in einen Lockdown geführt hat, der für viele Leute draußen eine echte existenzielle Bedrohung ist.
-	x	x	-	x	-	-	124052	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Schon nach dem ersten Lockdown war es so, dass viele Unternehmer nicht gewusst haben, wie sie denn diese Verluste aufholen und ausgleichen sollen, aber jetzt tun sie sich noch viel, viel, viel schwerer.
o	x	x	x	x	o	o	124067	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Erst am Mittwoch letzter Woche – es ist noch nicht einmal eine Woche her – sind wir hier herinnen gesessen und haben den Lockdown light verlängert.
-	x	x	-	x	o	-	124093	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Über die Sommermonate und nach Ende des Ersten Lockdown sind die Arbeits­losen­zahlen zwar kurzfristig wieder zurückgegangen, durch den Zweiten Lockdown werden die Arbeitslosenzahlen wohl bis Ende 2020 die arbeitsmarkpolitische „Schallmauer“ von 500.000 Arbeitslosen wieder deutlich durchschlagen.
+	x	x	x	x	+	+	124107	2020_11_17	62	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	Sie ist ein gutes Beispiel dafür, wie Kunst- und Kulturinstitutionen, aber auch -initiativen, Künstler, Künstlerinnen, wer auch immer, versuchen, Formate zu finden, wie sie in diesem Lockdown arbeiten können.
+	x	x	x	+	+	+	124113	2020_11_17	62	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	Es gibt den erst kürzlich im Sommer eingerichteten Überbrückungsfonds: Es gibt jetzt einen Lockdownbonus, 1 300 Euro dazu, also sind es im November 2 300 Euro, und ich kriege Gott sei Dank immer mehr Zuschriften, dass Leute darum ansuchen und das auch sehr rasch bekommen – da möchte ich mich bei all jenen bedanken, die das in der Sozialversicherung verwalten.
+	x	x	x	+	+	+	124115	2020_11_17	62	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	Wir werden heute noch Gelegenheit haben, über das Kunst- und Kulturbudget im Detail zu sprechen, aber mir ist wichtig, zu sehen, dass es die Künstler und Künstlerinnen sind, die Formen finden, in diesem Lockdown zu arbeiten, und ich freue mich daher, dass wir sie auf die unterschiedlichste Art und Weise unter­stützen können.
+	x	x	x	+	+	+	124149	2020_11_17	62	ÖVP	Bundesministerin für Landwirtschaft, Regionen und Tourismus Elisabeth Köstinger	True	Vor allem auch dieser zweite Lock­down, in den wir mit dem heutigen Tag gehen mussten, trifft diese Bereiche ganz besonders hart – an dieser Stelle ein ganz großes Dankeschön an das Finanz­ministerium, an die Mitarbeiterinnen und Mitarbeiter und vor allem auch an Finanz­minister Gernot Blümel, dass es innerhalb weniger Tage gelungen ist, diesen 80-pro­zentigen Umsatzersatz aufzustellen, ihn sehr rasch und unbürokratisch abzuwickeln und damit für diese Branche wirklich auch eine bestmögliche Unterstützung zu bieten.
o	x	x	x	x	o	o	124246	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Liebe Kolleginnen und Kollegen, obwohl sich auch Westeuropa im Teillockdown oder in Zuständen eines Lockdowns befindet, hat Westeuropa Schulen offen gehalten.
-	x	x	x	-	o	o	124250	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	– Diese Regierung und der Bundeskanzler wahrscheinlich nicht, denn das vorgelegte Budget adressiert in keinster Weise die Defizite aus dem ersten Lockdown und schon gar nicht jene aus der jetzigen Situation.
-	x	x	-	x	-	-	124298	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Wir haben noch im Oktober von einem Minus von 6,8 Prozent gesprochen, mittlerweile sind es 7,7 Prozent, und nach dem Lockdown geht es Richtung 9 Prozent.
o	#	#-	x	x	o	o	124303	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Er hat aber gemeint, wir könnten uns das leisten, weil es in den letzten Jahren eine solide Budgetpolitik gegeben habe, und es werde alles getan, um einen zweiten Lockdown zu verhindern.
-	x	x	x	-	-	-	124304	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Mittlerweile fragen sich aber viele Österreicher: Was wurde getan, um diesen zweiten Lockdown zu verhindern?
-	x	x	x	-	-	-	124309	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Warum werden Beatmungsgeräte ins Ausland verliehen, wenn der einzige Grund eines Lockdowns der ist, dass unser Gesundheitssystem über­lastet werden könnte?
o	x	x	x	x	o	o	124312	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	– Wir haben den zweiten Lock­down.
-	x	x	-	x	o	o	124357	2020_11_17	62	ÖVP	Abgeordnete Angela Baumgartner (ÖVP)	True	Wie im Frühjahr treffen der Lockdown und das Budget aufeinander.
-	x	x	-	x	o	+	124364	2020_11_17	62	ÖVP	Abgeordnete Angela Baumgartner (ÖVP)	True	Natürlich kommen mit dem zweiten Lockdown erhebliche Schäden auf die heimische Volkswirtschaft zu.
+	x	x	+	x	+	+	124365	2020_11_17	62	ÖVP	Abgeordnete Angela Baumgartner (ÖVP)	True	Diese sind laut IHS aber geringer als im Frühjahr, und ohne diesen Lockdown wären die Schäden vermutlich noch größer.
+	x	x	x	+	+	+	124366	2020_11_17	62	ÖVP	Abgeordnete Angela Baumgartner (ÖVP)	True	Die Staatshilfen werden auf alle ausgeweitet, die aufgrund des erweiterten Lockdowns ihren Betrieb schließen mussten.
o	x	x	o	x	o	-	124401	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Der springende Punkt ist: Was machen wir eigentlich, wenn der Lockdown, vor allem für den Tourismus, noch länger gilt?
o	x	x	x	+s	o	o	124450	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Unternehmer_innen brauchen schnelle und unbürokratische Hilfe sowie Verlässlichkeit die über die Dauer des aktuellen Lock­downs weit hinausgeht.
+	x	x	x	+s	o	o	124454	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Zwei Säulen können jederzeit zur Verfügung stehen, eine Säule könnte zur Verstärkung aufgestellt werden, falls es wie aktuell zu einem Lockdown kommt.
+	x	x	x	+s	o	o	124456	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Es gilt daher, so rasch wie möglich das gesamte Beihilfenrecht auszunutzen und einen Fixkostenzuschuss  auch nach 107 für den Fall des Lockdowns umzusetzen - Unternehmen, die behördlich geschlossen werden, wissen, dass sie für diese Zeit mit einem Verlustausgleich rechnen können.
o	x	-	x	+s	-	-	124457	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Weitere Lockdowns sollen unbedingt verhin­dert werden - trotzdem sollen in rechtzeitigen Gesprächen mit der Europäischen Kom­mission Hilfen vorbereitet werden, um bei Schließung schnell wirken zu können.
o	x	x	-	+s	o	-	124465	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Unternehmen brauchen aber auch Klarheit, wie die Verluste seit dem ersten Lockdown cash-wirksam kompensiert werden, wenn ihnen Aufträge wegge­brochen sind.
+	x	x	x	+s	o	o	124466	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Der Fixkostenzuschuss soll sowohl für den Lockdown-Fall als auch für den Nicht-Lockdown-Fall wirken.
o	x	x	x	+s	o	o	124467	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Es werden sich zwar je nach Lockdown die beihilfen­recht­lichen Möglichkeiten ändern, aber es darf sich für Unternehmen der Behördenweg und das Instrument nicht ändern.
+	x	x	x	+s	o	o	124609	2020_11_17	62	SPÖ	Abgeordnete Gabriele Heinisch-Hosek (SPÖ)	False	Lockdowns dafür genützt werden, um auf eine langfristig wirksame Corona-Strategie umzustellen.
-	x	x	x	x	o	-	124665	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Diese Zahlen, sehr geehrte Damen und Herren, sind sogar noch schöngerechnet, ja veraltet, denn sie basieren auf einer Prognose, die den aktuellen harten Lockdown gar nicht berücksichtigt.
-	x	-	x	-	-	-	124667	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Die Regierung hat offensichtlich aus den Erkenntnissen und den Erfahrungen des ersten Lockdowns und der ersten Welle überhaupt nichts gelernt, denn eines ist klar, ein Lockdown, wie er jetzt durchgeführt wird, richtet mehr Schaden an, als dass er hilft.
-	x	x	x	-	o	-	124679	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Anstatt herumzutesten, bräuchten wir wirklich regelmäßige Quer­schnittstestungen der österreichischen Bevölkerung, und zwar nicht nach dem totalen Lockdown, wie das Herr Bundeskanzler Kurz vorschlägt, sondern vorher, als evidenz­basierte Grundlage für weitere Maßnahmen.
-	x	-	x	-	-	-	124684	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Stattdessen befinden wir uns nun im zweiten harten Lockdown, und das durch Zahlen, die das in keiner Weise hergeben.
-	x	-	x	x	-	-	124686	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Wie das als Begründung für einen harten Lockdown herhalten soll, das erschließt sich mir in keiner Weise.
o	x	x	x	#-	+	+	124701	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Kommen wir zurück: Kollege Kaniak hat gerade bei den Zahlen, die dem Lockdown zugrunde liegen, so getan, als ob diese nicht stimmen würden.
o	x	+	x	x	+	+	124703	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Das ist der Grund, warum es eben seit Mitternacht einen harten Lockdown gibt.
-	x	+	+	+	+	+	124704	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Das ist der Grund, warum auch dieser Lockdown alternativlos ist, weil die Medizinerinnen, die Mediziner, die Sanitäterinnen und Sanitäter, die Menschen, die in den Spitälern arbeiten, die dort jeden Tag dafür sorgen sollen, dass Menschen gepflegt werden, dass Menschen gesund gemacht werden, momentan mit dem Rücken zur Wand stehen.
o	x	+	+	x	+	+	124705	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Es ist unsere Aufgabe als Politiker, diesen Menschen zu helfen, und das geht halt am besten, indem wir den Zustrom von erkrankten Menschen minimieren, und deshalb gibt es den Lock­down.
o	x	-	x	x	-	-	124712	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Bis 6.12. werden die Zahlen hoffentlich so weit herunten sein, dass wir aus diesem Lockdown wieder aussteigen können.
o	x	-	x	x	-	-	124713	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Die Zahlen werden dann hoffentlich auch so weit herunten sein, dass wir keinen dritten Lockdown mehr brauchen.
-	x	x	-	x	-	-	124805	2020_11_17	62	SPÖ	Abgeordneter Andreas Kollross (SPÖ)	False	Aufgrund des neuen Lockdowns kann man davon ausgehen, dass im Jahr 2021 ebenfalls 2 Milliarden Euro für alle 2 095 Gemeinden in Österreich fehlen werden.
-	x	x	-	-	o	-	125360	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	In der Budgetrede des Finanzministers hörte man kein Wort darüber, wie man den Lockdownverlierern budgetär unter die Arme wird greifen können, kein Wort darüber, welche Mittel vorgesehen sind, um Maßnahmen zu treffen, die die Folgeschäden des Lockdowns der Schulen zumindest so gering wie möglich halten – auch das ist unge­recht.
-	x	x	-	+s	o	-	125363	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Es braucht ein Budget für spezielle Förderangebote, um die durch Lockdowns verlorene Bildungszeit wieder aufholen zu können.
-	x	x	x	-	o	-	125408	2020_11_17	62	SPÖ	Abgeordnete Mag. Karin Greiner (SPÖ)	False	Seit heute sind wir im zweiten Lockdown und – wir haben es schon gehört – die Folgen dieses Lockdowns sind nicht im Budget eingepreist.
-	x	x	x	x	o	o	125643	2020_11_17	62	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Die Hilfestellungen, die wir angeboten haben – Rückverweis, überarbeiten, den nächsten Lockdown berücksichtigen –, werden schnöde abgewiesen.
-	x	x	x	-	o	-	125644	2020_11_17	62	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Nein, am ersten Tag des harten Lockdowns versammeln sich 183 plus 20 – nein, der Bundeskanzler ist weggeblieben – plus Personal hier, um ein Budget zu diskutieren, das Makulatur ist.
-	x	x	x	-	o	-	125647	2020_11_17	62	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Gleichzeitig gibt es für einen Teil der Branchen 80 Prozent Umsatzentschädigung ohne Anrechnung von Kurzarbeit – super für die Betroffenen und vielleicht für den einen Monat ein bisschen eine Entschädigung dafür, dass Sie bis heute vergessen haben, für den Lockdown eins im Frühjahr den Großteil auszubezahlen.
-	x	x	x	-	o	-	125916	2020_11_17	62	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Wenn ich mir diesbezüglich die neue COVID-19-Notmaßnahmenverordnung anschaue, die den zweiten Lockdown begründet, kann ich nur auflachen, da diese einfach schon aufgrund ihrer Pauschalität und nicht nachvollziehbarer Begründung verfassungswidrig ist.
-	x	x	x	-	-	-	125917	2020_11_17	62	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Hören Sie auch auf – das ist an die Vertreter der Regierungsparteien gerichtet –, Men­schen, kritische Bürger oder Mediziner, die die Regierungslinie hinterfragen, immer für die Ausbreitung der Infektionskrankheit oder für die Notwendigkeit des angeblich notwendigen zweiten Lockdowns verantwortlich zu machen!
-	x	x	-	x	-	-	125942	2020_11_17	62	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Bereits aufgrund des erzwungenen ersten Lockdowns, mussten viele dieser Orga­ni­sationen ihren Betrieb stark einschränken bzw. komplett einstellen.
+	x	x	x	x	o	+	126093	2020_11_17	62	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	Der öffentliche Dienst hat gewährleistet, dass sowohl beim ersten Lockdown als auch jetzt beim zweiten der Staat reibungslos funktioniert , auch wenn das manche anders sehen.
+	x	x	x	x	+	+	126101	2020_11_17	62	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	In diesem Sinne darf ich vielleicht anregen – und mein Dank gilt wirklich den Beam­ten/Beamtinnen, aber natürlich auch den Vertragsbediensteten, die ja bei Erwähnung des öffentlichen Dienstes sehr oft zu kurz kommen; also diese beiden Gruppen sind ganz zentral, sie halten unseren Staat aufrecht –: Lassen Sie sich nicht von den NEOS abbringen , sondern folgen Sie meinem Wunsch und zahlen Sie durchaus Prämien an all jene, die während des Lockdowns, aber auch im Sommer dieses Jahres Großes geleistet haben, aus!
o	x	x	x	x	o	o	126314	2020_11_17	62	SPÖ	Abgeordneter Ing. Reinhold Einwallner (SPÖ)	False	Wir haben in der ersten Lock­downphase gesehen, wie stark die Zahl der Anfragen bei der Volksanwaltschaft ge­stiegen ist und wie notwendig es auch ist, Sonderprüfungen und Sonderberichte zu machen.
-	x	x	x	-	o	-	126660	2020_11_17	62	SPÖ	Abgeordneter Mag. Jörg Leichtfried (SPÖ)	False	Genau in der Woche, in der es wieder einen Lockdown gibt und das Thema wahr­scheinlich überlagert wird, habt ihr versucht, das durchzubringen, aber ich sage euch eines: Das werden wir euch nicht durchgehen lassen!
-	x	x	x	x	o	o	127210	2020_11_17	62	SPÖ	Abgeordnete Mag. Verena Nussbaum (SPÖ)	False	Sie machen das in der Hoffnung, dass dies in der laufenden Budgetdebatte oder im Zuge des Lockdowns medial untergehen wird, aber ich sage es ganz deutlich: Hier geht es um Pensionsraub.
o	x	x	x	x	o	o	127294	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Damals haben wir die Sonderbetreuungszeiten beschlossen; und die Frau Minister hat sich im Sozialausschuss noch hingestellt und gesagt: Das gilt, wenn der Lockdown kommt und die Schulen zu sind!
-	x	x	x	x	o	o	127545	2020_11_17	62	SPÖ	Abgeordnete Cornelia Ecker (SPÖ)	False	In diesen schwierigen Zeiten, noch dazu während dieses Lockdowns, greifen ÖVP und Grüne nach dem Geld der hart arbeitenden Menschen in diesem Land.
-	x	x	-	x	o	-	127842	2020_11_17	62	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Arbeitsministerin Aschbacher hat heute die neuen Arbeitslosenzahlen präsentiert, die natürlich steigen – und das, bevor der zweite Lockdown seine Spuren hinterlassen konnte.
-	x	x	x	-	o	-	127843	2020_11_17	62	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Wenn man die Coronapolitik der Bundesregierung so anschaut, dann müssen wir alle davon ausgehen, dass am 7. Dezember alle Sperren aufgehoben werden, das Infektionsgeschehen weitergeht und wir im Jänner oder im Februar den dritten Lockdown haben.
o	x	x	x	x	o	o	128105	2020_11_17	62	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	Die Vereine brauchen aber nicht nur für die Zeit des zweiten Lockdowns Planungssicherheit, sondern auch jetzt schon die Gewissheit, dass der Hilfsfonds für Vereine bis mindestens Ende des ersten Quartals 2021 verlängert wird.
-	x	x	x	x	o	o	128151	2020_11_17	62	FPÖ	Abgeordnete Petra Steger (FPÖ)	False	Wenigstens haben Sie, sehr geehrter Herr Vizekanzler, jetzt, im zweiten Lockdown, zumindest schon verstanden, dass Spitzensport eine berufliche Tätigkeit ist und daher weiterlaufen muss.
