sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
o	x	x	x	x	o	o	127294	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Sonderbetreuungszeiten beschlossen Frau Minister Sozialausschuss hingestellt gilt Lockdown Schulen 
-	x	x	x	x	o	o	127545	2020_11_17	62	SPÖ	Abgeordnete Cornelia Ecker (SPÖ)	False	schwierigen Zeiten Lockdowns greifen ÖVP Grüne Geld hart arbeitenden Menschen Land 
-	x	x	-	x	o	-	127842	2020_11_17	62	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Arbeitsministerin Aschbacher Arbeitslosenzahlen präsentiert steigen   bevor Lockdown Spuren hinterlassen 
-	x	x	x	-	o	-	127843	2020_11_17	62	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Coronapolitik Bundesregierung anschaut ausgehen 7.   Dezember Sperren aufgehoben Infektionsgeschehen weitergeht Jänner Februar Lockdown 
o	x	x	x	x	o	o	128105	2020_11_17	62	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	Vereine brauchen Lockdowns Planungssicherheit Gewissheit Hilfsfonds Vereine mindestens Quartals   2021 verlängert 
-	x	x	x	x	o	o	128151	2020_11_17	62	FPÖ	Abgeordnete Petra Steger (FPÖ)	False	geehrter Herr Vizekanzler Lockdown zumindest verstanden Spitzensport berufliche Tätigkeit weiterlaufen 
-	x	x	-	x	-	-	128165	2020_11_17	62	FPÖ	Abgeordnete Petra Steger (FPÖ)	False	Lockdown wissen Gesund­heitszustand Bevölkerung Bewegungsmangel massiv verschlechtert 
+	x	x	x	x	+	+	128243	2020_11_17	62	Grüne	Bundesminister für Kunst, Kultur, öffentlichen Dienst und Sport Vizekanzler Mag. Werner Kogler	True	glaube Lockdowns bewiesen leis­tungsfähig öffentliche Dienst trotz Homeoffice   überall gegangen   
o	x	x	x	x	o	+	128298	2020_11_17	62	Grüne	Bundesminister für Kunst, Kultur, öffentlichen Dienst und Sport Vizekanzler Mag. Werner Kogler	True	Schlussappell derzeit Lockdown herrscht Bewegung bleiben zusammenbringen 
-	x	x	-	x	o	-	128324	2020_11_17	62	SPÖ	Abgeordneter Rudolf Silvan (SPÖ)	False	denke Ankündigungen sogenannte freiwillige Massentestung vermeintliche Rechtsanspruch Sonderbetreuungszeit Eltern Zusam­menhang Schulschließungen Lockdown Beschwerden Volksanwaltschaft Folge 
-	x	x	-	x	o	-	128327	2020_11_17	62	SPÖ	Abgeordneter Rudolf Silvan (SPÖ)	False	sinnvoll halten Budget Volksanwaltschaft Folgen aktuellen Lockdowns eingepreist budgetären Problemen 
o	x	x	x	x	o	o	128449	2020_11_17	62	SPÖ	Abgeordnete Sabine Schatz (SPÖ)	False	hoffe momentanen Pandemie Lockdowns rasch Abarbeitung Anträge vorankommen Dringlichkeit Themas wichtig 
o	x	x	x	+s	o	-	128494	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Thomas   Drozda Kolleginnen Kollegen betreffend Repara­tur Umsatzersatzes Lockdown Nationalrat wolle beschließen Bundesregierung insbesondere Finanzminister Kulturminister aufge­fordert sicherzustellen 80prozentigen Umsatzersatz Lockdown freie Kunst- Kulturschaffende Zulieferer profitieren vereinbarte Gagen Absagen Veranstaltungen Gewährung Umsatzersatz Fall auszubezahlen   Antrag folgenden Gesamtwortlaut Abgeordneten 
-	x	x	-	x	o	-	128495	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Thomas   Drozda Genossinnen Genossen betreffend Reparatur Umsatzersatzes Lockdown eingebracht Zuge Debatte Bericht Budgetausschusses Regie­rungsvorlage Bundesgesetz Bewilligung Bundesvoranschlages 2021   samt Anlagen UG 32   Kultur- Veranstaltungsbranche COVID-19-Krise massiv betroffen 
-	x	x	-	x	-	-	128496	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Bundesregierung verkündeten Lockdown November Situation nochmals verschlechtert 
o	x	x	x	x	o	o	128498	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Anlässlich Lockdowns Finanzminister neues Instrument Krisenbewältigung angekündigt 
o	x	x	x	x	o	o	128501	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Ausdehnung Lockdowns Erweiterung Branchen vorgesehen 
-	x	x	x	o	o	o	128504	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Freie KünstlerInnen berechtigt Umsatzersatz Freie KünstlerInnen bekommen Umsatzersatz direkt Lock­down Verordnung Gesundheitsministeriums betroffen 
-	x	x	-	x	o	-	128515	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Licht- Tontechniker beispielsweise Anspruch Umsatz­ersatz Beruf nachgehen Lockdown Veranstaltungen stattfinden 
o	x	x	x	+s	o	o	128527	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Grund stellen unterfertigten Abgeordneten nachstehenden Nationalrat wolle beschließen Bundesregierung insbesondere Finanzminister Kulturminister aufge­fordert sicherzustellen 80prozentigen Umsatzersatz Lockdown freie Kunst- Kulturschaffende Zulieferer profitieren vereinbarte Gagen Absagen Veranstaltungen Gewährung Umsatzersatz Fall auszubezahlen 
-	x	x	-	x	o	-	128589	2020_11_17	62	FPÖ	Abgeordneter Ing. Mag. Volker Reifenberger (FPÖ)	False	Bundesmuseen enormen Besucherrückgängen kämpfen wien.orf.at 10. August 2020 lesen Harte Einbußen KHM Belvedere Kunsthistorische Museum Tore Lock-down 30. Mai öffnete begrüßte Halbjahr 2020 Vergleich Vorjahres­zeitraum Drittel Besucherinnen Besucher 
-	x	x	x	x	o	-	128716	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Netz Abfederung Dramas umfangreich geschnürt angefangen Härtefallfonds Selbstständige Covid-19-Fonds Künstlersozialversicherung Überbrückungsfonds selbstständige Kunst- Kulturschaffende NPO-Fonds Comebackzuschuss Film- TV-Produktionen   neu   Lockdownbonus Umsatzersatz Kulturbetriebe Zulieferer hoffentlich Einreichmodalitäten geklärt 
-	x	x	-	x	o	-	128749	2020_11_17	62	ÖVP	Abgeordneter Mag. Martin Engelberg (ÖVP)	True	denke erlebt wehgetan Kunst- Kultureinrichtungen Teillockdown sperren   wissend unglaublichen Bemühungen Kultureinrichtungen Sicherheit Gesundheit Besucher gewährleisten Bemühungen Einrichtungen geblieben unternommen 
+	x	x	x	+	o	+	128798	2020_11_17	62	Grüne	Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport Mag. Andrea Mayer	True	Umsatzersatz 80   Prozent aktuellen Lockdown Kulturbetrieben zugute 
+	x	x	x	+	o	+	128801	2020_11_17	62	Grüne	Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport Mag. Andrea Mayer	True	bewusst freischaffenden Künstler Kompensation Lockdown brauchen Kompensation SVS 1   300 Euro netto zusätzlich Monat Rahmen Überbrückungsfinanzierung 
o	x	x	x	x	o	+	128803	2020_11_17	62	Grüne	Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport Mag. Andrea Mayer	True	Rahmen Härtefallfonds angesucht höchstens 2   500   Euro zusätzlich Lockdownkompensation SVS bekommen bekommt maximal 3   800   Euro netto 
-	x	x	x	x	o	o	128821	2020_11_17	62	SPÖ	Abgeordnete Katharina Kucharowits (SPÖ)	False	Mal Rahmen Plenums Budget   2021 spreche einfach Feststellung tätigen oftmals gekommen diskutieren Budget letzte Woche langen Budgetverhandlungen Ausschuss behandelt Stadium entspricht stecken nämlich Lockdown begonnen Berücksichtigung findet 
-	x	x	x	-	o	-	128882	2020_11_17	62	SPÖ	Abgeordnete Mag. Ruth Becher (SPÖ)	False	Lockdown Situation wahrgenommen Verständnis Lebenssituation vonseiten Regierung gefehlt 
o	x	x	x	x	o	o	129087	2020_11_17	62	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	bitten lesen Zuge Lockdowns 
-	x	x	x	x	o	o	129983	2020_11_17	62	FPÖ	Abgeordneter Mag. Hannes Amesbauer, BA (FPÖ)	False	insgesamt Budget aufgrund Lockdowns Coronasituation Budget eingepreist Wahrheit Fantasiebudget Fantasiezahlen wissen halten 
-	x	x	-	x	o	-	130374	2020_11_17	62	SPÖ	Abgeordnete Mag. Verena Nussbaum (SPÖ)	False	führt Frauen Teilzeit bezahlten Jobs arbeiten Frauen niedrige Pension erhalten sogenannten System­erhalterinnen   Pflege arbeiten Handel arbeiten   Heldinnen Lockdownkrise 
o	x	x	x	+s	o	o	131064	2020_11_17	62	Grüne	Abgeordneter Ing. Martin Litschauer (Grüne)	True	Zeiten Lockdowns eingeschränkten Einkaufsmöglichkeiten online bestellt aufrufen regionalen Anbietern 
-	x	x	-	x	o	-	131473	2020_11_17	62	SPÖ	Abgeordnete Mag. Verena Nussbaum (SPÖ)	False	Vielzahl Untersuchungen Operationen Rehabilitationen durch­ge­führt Umständen Gesundheitszustand Betroffenen verschlechtert Beschränkungen Lockdowns Menschen starke psychische Belastungen 
-	x	x	-	x	-	-	131547	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	formulieren beschlossene Umsatzentschädigung Betriebsschließungen Wochen Lockdown light Anfang November verursacht Kosten Doppelten gesamtes jährliches Gesundheitsbudget Ver­fügung 
-	x	x	x	-	o	-	131548	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	reden Kosten 2 3   Milliarden Euro Entschä­digung Umsatzausfall Lockdown light Vergleich 1,8   Milliarden Euro Gesundheitsbereich 
o	x	x	x	x	o	o	131690	2020_11_17	62	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	letzten Punkte Seite arbeiten derzeit intensiv Frage 6.   Dezember Lockdown weitergehen 
o	x	x	x	+s	o	o	131703	2020_11_17	62	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Lockdowns bestimmte Zielgruppen frequente Kundenkontakte persönlich begegnen berühren verstärkt Testprogramme integrieren 
-	x	x	-	x	o	-	131752	2020_11_17	62	Grüne	Abgeordnete Mag. Faika El-Nagashi (Grüne)	True	Tonnen Fleisch landeten Lockdown Müll Tonnen Fleisch Lockdown originalverpackt Müll landen 
o	#	#+	x	x	o	-	131856	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerald Hauser (FPÖ)	False	Wirtschaftsreparaturpaket Umsetzung nachstehender Maßnahmen sicherzustellen Voller Entschädigungsanspruch Betriebe Betretungsverbot betroffen Höhe erhalten Betrieb Grundlage EpidemieG geschlossen Sofortige antragslose Akontozahlung Finanzämter Unternehmer sämtliche Kosten entsprechenden Unternehmerlohn nächsten Monate abdeckt Abwicklung sämtlicher Maßnahmen Finanzämter Kürze wichtige Frage Herr Minister Puls   4 mitgeteilt   zitiere   Ziel Lockdown anhält Impfstoff 
-	x	x	-	x	o	-	131875	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerald Hauser	False	neuerliche Lockdown Ausganssperren Schulschließungen großflächi­gen Betretungsverboten Betriebe Handels Gastronomie Beherber­gungs­betriebe massiven Auswirkung Maßnahmen Wert­schöpfungskette Zulieferbetrieben Industrie Gewerbe 17. November 2020 verlangt grundlegenden Neuausrichtung staat­lichen Schadenersatzes solch massive Eingriffe österreichische Wirtschaft 
-	x	+	-	x	+	+	131948	2020_11_17	62	ÖVP	Abgeordneter Dr. Werner Saxinger, MSc (ÖVP)	True	Lockdown furchtbar alternativlos 
-	x	+	x	+	+	+	131961	2020_11_17	62	ÖVP	Abgeordneter Dr. Werner Saxinger, MSc (ÖVP)	True	Lockdown einzig mögliche Reaktion dramatischen Zustände alternativlos Bundesregierung einzig Richtige   
-	x	x	-	x	-	-	132042	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	starke Belastung hält Lockdowns verbessert Anfang Lockdowns 
-	##	-##+	x	x	-	-	132147	2020_11_17	62	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	wichtigen Punkt einfach klarstellen   weiß derartigen Mythen passiert   Redner FPÖ Puls-4-Interview zitiert zitiert wobei Vorwurf indirekt per Kommunikation Puls   4   interessante Entscheidungs­findung Kommunikation eigentlich Parlament Regierung Ort Derartiges entscheiden müsste Übrigen   angekündigt Lockdown 6.   Dezember hinaus fortgesetzt 
o	x	x	x	x	-	-	132151	2020_11_17	62	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Formulierung Lockdown anhält gemeint fortgesetzt Wirkung Lockdowns anhält 
o	x	x	x	+s	+	+	132154	2020_11_17	62	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Ziel Lockdown nachhaltig Wochen wirkt möglichst Impfung wirkt 
o	x	x	x	x	o	o	132406	2020_11_17	62	ÖVP	Bundesministerin für Landesverteidigung Mag. Klaudia Tanner	True	gefordert Abstimmung Gesundheitsministerium Bundeskanzleramt betreffend Planungsarbeiten Massentests Lockdowns stattfinden 
+	x	x	x	x	o	o	132476	2020_11_17	62	ÖVP	Abgeordneter Ing. Manfred Hofinger (ÖVP)	True	Abschließend genereller Soldatinnen Soldaten Verantwor­tungsträger Vorgesetzten Besonderes geleistet Sicherheit gesorgt Bekämpfung Pandemie gesorgt Vorhinein bedanken Testungen Lockdown stattfinden unterstützen 
-	x	x	x	-	o	-	132738	2020_11_17	62	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	passiert Lockdown Regierung steht Mal Leben Corona Problemen Wirtschaft gehört 
-	x	x	x	-	o	-	132791	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Unternehmen Lockdown Frühjahres überstanden Wirtschaft aufwärtsgegangen Regierung Sommer verschlafen   sämtliche Vorbereitungsmaßnahmen not­wendig wären Wirtschaft notwendig wären getroffen 
o	x	x	x	+s	o	o	132798	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	bringe folgenden Antrag Abgeordneten Erwin   Angerer Kolleginnen Kollegen betreffend dringende Um­setzung Fixkostenzuschuss   II Ermöglichung Umsatzersatzes indirekt Lockdown betroffenen Unternehmen Nationalrat wolle beschließen Bundesregierung aufgefordert einerseits umgehend sicherzustellen indirekt betroffenen Zulieferfirmen aufgrund Lockdowns ge­schlos­senen Betriebe Umsatzersatz erhalten andererseits Fixkosten­zuschuss   II unmittelbar umzusetzen ersuche Zustimmung 
o	x	x	x	+s	o	o	132800	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Antrag folgenden Gesamtwortlaut Abgeordneten Erwin   Angerer weiterer Abgeordneter betreffend dringende Umsetzung Fixkostenzuschuss II Ermöglichung Umsatzersatzes indirekt Lockdown betroffenen Unternehmen eingebracht Zuge Debatte Tagesordnungspunkt 11 Bericht Budget­ausschusses Regierungsvorlage Bundesgesetz Bewilligung Bundesvoranschlages 2021   samt Anlagen Untergliederung UG 40 Wirtschaft 62. 
-	x	x	-	x	o	-	132802	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	GP 18. November 2020 letzten Monaten Betriebe Unternehmen Folge COVID-19 verordneten Lockdowns massiv verschulden befinden branchenabhängigen Unterschieden wirtschaftlich äußerst schwierigen Lage 
-	x	x	-	x	o	-	132808	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Laut Budgetbericht liegen Budget 2021 Miteinbeziehung mittler­weile verordneten Lockdowns folgende Daten zugrunde 2020 wirtschaftliche Entwicklung Österreich stark welt­weiten COVID-19 Pandemie gekennzeichnet 
-	x	x	-	x	-	-	132816	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	WIFO rechnet Rückgang heimischer Exporte Höhe 12,4 % drastisch Auswirkungen Lockdowns Wirtschaft Öster­reich wären IHS WIFO nämlich kürzlich dargelegt Lock­down folgender Begründung argen Schlag bezeichnen 
-	x	x	-	x	-	-	132817	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	neuerlicher Lockdown Herbst BIP-Raten laut Wifo heuer minus 6,8 Prozent 2021 plus 4,4 Prozent 2,5 4,0 Prozentpunkte senken warnte Wirtschaftsforschungsinstitut Freitag 
-	x	-	-	x	-	-	132819	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	neuerlicher Lockdown freilich Wirtschaftsleistung Quartal Niveau Quartals herunterdrücken gesamten Prognosezeitraum Wertschöpfungsverlust 4,5 Prozent bewirken warnt Wifo APA0140 Fr 09.Okt 2020 Bundesregierung Wochen Antrag auf­gefordert Hintergrund dramatischen Auswirkungen Lockdowns umgehend öffentlich Lockdown Österreich auszuschließen 
-	x	-	-	x	-	-	132820	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Kerbe schlug Wirtschaftskammer Präsident Mahrer Generalsekretär Kopf Zusammenhang Aussendung 9. Oktober 2020 wirtschaftspolitische Vernunft Verhinderung neuerlichen Lock­downs einforderten österreichische Betriebe weiterhin größten Wirtschaftskrise Jahrzehnte ringen 
-	x	-	x	x	-	-	132821	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Lockdown undenkbar Umständen vermeiden 
o	x	x	x	x	o	o	132823	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Wirksamkeit 03.11.2020 nunmehr Lock-Down Kraft getreten WKO offensichtlich zugestimmt 
-	x	x	-	x	o	-	132824	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	entsprechenden Auswirkungen Lockdowns beurteilt bzw. beziffert WIFO Aussendung 5. November 2020 folgt Corona-Pandemie Dienstag geltende Lockdown Öster­reich heimische Wirtschaft heuer nächstes stärker Mitleidenschaft ziehen angenommen 
o	x	x	x	x	o	o	132828	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	APA0170 05.Nov 2020 finanziellen Ausgleich Unternehmen Lockdown betroffen 80 % iger Umsatzersatz Umsatzes Vorjahresmonats ver­sprochen 
o	x	x	x	x	o	o	132832	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	mehrfach betont direkt Lockdown betroffenen Branchen Perspektive brauchen indirekt betroffen 
-	x	x	x	+s	o	o	132836	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Zusammenhang meldete Harald Mahrer Tiroler Tageszeitung 1. Oktober 2020 Wort mahnte schnellstmögliche Um­setzung Verlängerung Fixkostenzuschusses Betriebe zusperren müssten absolut Verständnis Diskussionen Rücken österreichischen Betriebe verordnete Lockdown Gastronomie Hotellerie Event- Veranstaltungs-branche treffe indirekt Betriebe hart beklagte Obfrau WKÖ-Sparte Gewerbe Handwerk Renate Scheichelbauer-Schuster 
-	x	x	-	+s	o	-	132844	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Nov 2020 Zusammenhang stellen unterfertigten Abgeordneten nach­ste­hen­den Nationalrat wolle beschließen Bundesregierung aufgefordert einerseits umgehend sicherzustellen indirekt betroffenen Zulieferfirmen aufgrund Lockdowns ge­schlossenen Betriebe Umsatzersatz erhalten andererseits Fixkosten­zuschuss II unmittelbar umzusetzen 
o	x	x	x	+	o	+	132976	2020_11_17	62	ÖVP	Bundesministerin für Digitalisierung und Wirtschaftsstandort Dr. Margarete Schramböck	True	Unternehmen international tätig signalisieren Aufträge   Lockdown   Wertschöpfungsketten Grenzen wichtiger Faktor 
-	#	#+	x	x	o	-	133089	2020_11_17	62	FPÖ	Abgeordneter Walter Rauch (FPÖ)	False	Lockdown verursacht 
-	x	x	x	+	o	o	133221	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ)	False	Inves­titionsprämie sicher Maßnahme Lockdown dazusagen Unternehmen investieren rechnen Return of Investment investieren irgendwie erwirtschaften 
-	x	x	-	x	-	-	133340	2020_11_17	62	ÖVP	Abgeordneter Christoph Stark (ÖVP)	True	befeuern Spaltung Gesellschaft tragen Verantwortung Lockdown 
-	x	x	x	-	o	-	133420	2020_11_17	62	SPÖ	Abgeordnete Cornelia Ecker (SPÖ)	False	befinden Lockdown Kosten Maßnahmen Budget   2021 abgebildet 
-	x	x	-	x	o	-	134255	2020_11_17	62	ÖVP	Abgeordneter Franz Hörl (ÖVP)	True	Infektionen letzten geführt Lockdown befinden Situation stehen Saison möglicherweise starten 
-	x	x	-	-	o	-	134260	2020_11_17	62	ÖVP	Abgeordneter Franz Hörl (ÖVP)	True	  Frau Kollegin Tourismussprecherin Neßler Bundes­minister Anschober Sorge tragen   passiert Frühjahr Lockdown   Beginn Saison Wochen gebraucht Skigebiete Lifte Betrieb nehmen 
-	x	x	-	x	-	-	134304	2020_11_17	62	ÖVP	Abgeordneter Ing. Manfred Hofinger (ÖVP)	True	stimmt Gemeinden abgeholt Gemeinden diesbezüglich geben gesamten Auswirkungen Gemeinden beur­teilen aufgrund vieler Gespräche Bürgermeisterkollegen sagen heurigen   Lockdown   finanziell Runden 
+	x	x	x	x	o	+	134416	2020_11_17	62	ÖVP	Abgeordneter Ing. Josef Hechenberger (ÖVP)	True	positiven Thema beginnen Lockdownzeiten schwierigen Zeiten Probleme Versorgungsengpässe Lebensmitteln österreichischen Bauern­familien fleißig arbeiten Lebensmittel ausreichender Menge hoher Qualität Verfügung stellen   letztendlich Aufgabe beziehungsweise Job 
+	x	x	x	+	o	+	134475	2020_11_17	62	ÖVP	Abgeordnete Irene Neumann-Hartberger (ÖVP)	True	Urlaub Bauernhof private Beherbergungsbetriebe Buschenschanken Heurige leiden genauso Lockdown Stelle herzliches Dankeschön Frau Minister Betriebe Umsatzersatz selben Ausmaß Gastronomie Tourismus sicherstellt 
-	x	x	-	x	o	-	134510	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	kurzfristigen Bildungsverluste mittel- langfristigen Verluste reichen 100 200   Euro Einkommensverlust einzelnen Monat Schullockdown wirtschaftlichen Verluste Kosten liegen 2   Milliarden Euro pro Monat geschlossenen Schulen 
-	x	x	x	x	o	-	134514	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	wissen Phase Lockdowns 140   000   Kinder Endgerät Hause 
-	x	x	-	-	o	-	134580	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Regierung beraten versuchen angesetzten Keil herauszubringen Regierung beraten bud­getär sorgen Folgeschäden Schul­lockdown entstehen ÖVP-Bundesparteiobmann Alleingang beschlos­sen abgefedert 
-	#	#+	-	-	o	-	134581	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Sinne folgenden Antrag einbringen Abgeordneten Hermann   Brückl   MA Kolleginnen Kolleginnen betreffend aus­reichende Budgetmittel Schulschließungs- Lockdown-Verlierer Nationalrat wolle beschließen Bundesregierung insbesondere Bundesminister Bildung Wissenschaft Forschung aufgefordert notwendigen Budgetmittel Begleit­maß­nahmen sicherzustellen Maßnahmen Folgeschäden Schul-Lock­downs möglichst gering halten Herr Bundeskanzler Übrigen beraten anstatt Welle Lockdown anzukündigen Medien getan sorgen Menschen Hoffnung außen Positives ausstrahlt 
-	x	x	x	x	o	-	134584	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Antrag folgenden Gesamtwortlaut Abgeordneten Hermann   Brückl   MA weiterer Abgeordneter betreffend ausreichende Budgetmittel Schulschließungs- Lockdown-Verlierer eingebracht 62. 
o	#	#-	x	x	o	o	134596	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	lehnt Bildungslockdown 
-	x	x	-	x	o	-	134607	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	stellen unterzeichnenden Abgeordneten folgenden Nationalrat wolle beschließen Bundesregierung insbesondere Bundesminister Bildung Wissenschaft Forschung aufgefordert notwendigen Budgetmittel Begleit­maß­nahmen sicherzustellen Maßnahmen Folgeschäden Schul-Lockdowns möglichst gering halten 
-	x	x	x	x	o	o	135401	2020_11_17	62	SPÖ	Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)	False	Pop-up Chancenindex startet Oktober 2021 18 Monate Schulschließungen Covid-19-Pandemie Lockdowns Frühjahr 2020. 
-	x	x	x	+	o	+	135428	2020_11_17	62	ÖVP	Abgeordnete MMag. Dr. Agnes Totter, BEd (ÖVP)	True	Frage permanent stellen Bundesregierung Lockdown Umstellung Distancelearning spät verhängt Antwort unseres Bundeskanzlers wiederholen harter Lockdown Wochen Bereitschaft Menschen Maßnahme vielfach gefehlt 
-	x	+	x	x	+	+	135432	2020_11_17	62	ÖVP	Abgeordnete MMag. Dr. Agnes Totter, BEd (ÖVP)	True	Lockdown Umstellung Distancelearning notwendig bitte Schule Blase bilden Coronavirus hinein könne 
o	x	x	o	x	o	o	135562	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ)	False	Schließung Schulen Lockdown Unter­richt Wände verschoben distance learning Notwen­digkeit 
-	x	x	-	x	-	-	135642	2020_11_17	62	SPÖ	Abgeordnete Petra Vorderwinkler (SPÖ)	False	paar Monaten   2021 Lockdown umgehen 1,1   Millionen Schülerinnen Schüler verlieren 
o	x	x	x	x	o	o	135734	2020_11_17	62	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Lockdown wichtig 
-	x	x	-	x	o	-	135758	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Moder­nem Frauenbild drohen Rückschritte Negative Entwicklung Frauen Frauen tragen Hauptlast unbemerkte Multiarbeit Frauen bleibt Frauen hängen Coronakrise Situation verschlechtern Krise führt Tradition Wandel Frauen Coronakrise schwerer betroffen Möglichkeit Hause betreuen Bedarf stehen Einrichtungen Frauen Verliererinnen Covid-Krise Sonderbetreuung gilt Lockdown Frauen zerreißen fühlen Versagerinnen 
o	x	x	x	x	o	o	135761	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	bringe aktuelle Frauen bringen Lockdown 
-	x	x	-	x	-	-	135763	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Frauen bringen Lockdown Lockdown Herausfor­de­rung trifft überwiegenden Frauen 
-	x	x	-	x	o	-	135776	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	wissen gestiegenen Zahlen Wegweisungen Betretungsverbote Lockdowns 
-	x	x	-	x	-	-	135785	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Frauen Lockdowns laut Studien 5   100   Euro Lebenseinkommen verloren betrifft selbstständigen Frauen 
